,State_Name,District_Name,Season,Crop
0,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Arecanut
1,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Other Kharif pulses
2,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Rice
3,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Banana
4,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Cashewnut
5,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Coconut 
6,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry ginger
7,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Sugarcane
8,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Sweet potato
9,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Tapioca
10,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Arecanut
11,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Other Kharif pulses
12,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Rice
13,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Cashewnut
14,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Coconut 
15,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry ginger
16,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Sugarcane
17,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Sweet potato
18,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Rice
19,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Arecanut
20,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Banana
21,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Black pepper
22,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Cashewnut
23,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Coconut 
24,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry chillies
25,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry ginger
26,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Sugarcane
27,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Rice
28,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Arecanut
29,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Banana
30,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Black pepper
31,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Cashewnut
32,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Coconut 
33,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry chillies
34,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry ginger
35,Andaman and Nicobar Islands,NICOBARS,Whole Year ,other oilseeds
36,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Rice
37,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Arecanut
38,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Banana
39,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Black pepper
40,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Cashewnut
41,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Coconut 
42,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry chillies
43,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry ginger
44,Andaman and Nicobar Islands,NICOBARS,Whole Year ,other oilseeds
45,Andaman and Nicobar Islands,NICOBARS,Kharif     ,Rice
46,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Arecanut
47,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Banana
48,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Black pepper
49,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Cashewnut
50,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Coconut 
51,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry chillies
52,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Turmeric
53,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Arecanut
54,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Banana
55,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Black pepper
56,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Cashewnut
57,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Coconut 
58,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry chillies
59,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Dry ginger
60,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Sugarcane
61,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Sweet potato
62,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Tapioca
63,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Turmeric
64,Andaman and Nicobar Islands,NICOBARS,Autumn     ,Rice
65,Andaman and Nicobar Islands,NICOBARS,Autumn     ,Sugarcane
66,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Arecanut
67,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Black pepper
68,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Cashewnut
69,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Dry chillies
70,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Dry ginger
71,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Maize
72,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Moong(Green Gram)
73,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Sweet potato
74,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Turmeric
75,Andaman and Nicobar Islands,NICOBARS,Rabi       ,Urad
76,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Banana
77,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Coconut 
78,Andaman and Nicobar Islands,NICOBARS,Whole Year ,Tapioca
79,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif     ,Arecanut
80,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif     ,Other Kharif pulses
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif     ,Rice
82,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Banana
83,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Cashewnut
84,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Coconut 
85,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Dry ginger
86,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,other oilseeds
87,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Sugarcane
88,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Sweet potato
89,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Tapioca
90,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif     ,Arecanut
91,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif     ,Other Kharif pulses
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif     ,Rice
93,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Cashewnut
94,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Coconut 
95,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Dry ginger
96,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Sugarcane
97,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Sweet potato
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif     ,Rice
99,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Arecanut
100,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Banana
101,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Black pepper
102,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Cashewnut
103,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Coconut 
104,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Dry chillies
105,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Dry ginger
106,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,other oilseeds
107,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Sugarcane
108,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Sweet potato
109,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Tapioca
110,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Turmeric
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn     ,Rice
112,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn     ,Sugarcane
113,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Arecanut
114,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Arhar/Tur
115,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Black pepper
116,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Cashewnut
117,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Dry chillies
118,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Dry ginger
119,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Groundnut
120,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Maize
121,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Moong(Green Gram)
122,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Sunflower
123,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Sweet potato
124,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Turmeric
125,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Urad
126,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Banana
127,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Coconut 
128,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,Tapioca
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif     ,Rice
130,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Arecanut
131,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Banana
132,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Black pepper
133,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Cashewnut
134,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Coconut 
135,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry chillies
136,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry ginger
137,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,other oilseeds
138,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Sugarcane
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif     ,Rice
140,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Arecanut
141,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Banana
142,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Black pepper
143,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Cashewnut
144,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Coconut 
145,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry chillies
146,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry ginger
147,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,other oilseeds
148,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Sugarcane
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif     ,Rice
150,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Arecanut
151,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Banana
152,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Black pepper
153,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Cashewnut
154,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Coconut 
155,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry chillies
156,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry ginger
157,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,other oilseeds
158,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Sugarcane
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif     ,Rice
160,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Arecanut
161,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Banana
162,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Black pepper
163,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Cashewnut
164,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Coconut 
165,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry chillies
166,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry ginger
167,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,other oilseeds
168,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Sugarcane
169,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Sweet potato
170,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Tapioca
171,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Turmeric
172,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif     ,Rice
173,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Arecanut
174,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Banana
175,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Black pepper
176,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Cashewnut
177,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Coconut 
178,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry chillies
179,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Dry ginger
180,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,other oilseeds
181,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Sugarcane
182,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Sweet potato
183,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Tapioca
184,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Turmeric
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn     ,Rice
186,Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn     ,Sugarcane
187,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Arecanut
188,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Arhar/Tur
189,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Black pepper
190,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Cashewnut
191,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Dry chillies
192,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Dry ginger
193,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Groundnut
194,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Maize
195,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Moong(Green Gram)
196,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Sunflower
197,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Sweet potato
198,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Turmeric
199,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Urad
200,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Banana
201,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Coconut 
202,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Tapioca
203,Andhra Pradesh,ANANTAPUR,Kharif     ,Arhar/Tur
204,Andhra Pradesh,ANANTAPUR,Kharif     ,Bajra
205,Andhra Pradesh,ANANTAPUR,Kharif     ,Castor seed
206,Andhra Pradesh,ANANTAPUR,Kharif     ,Cotton(lint)
207,Andhra Pradesh,ANANTAPUR,Kharif     ,Dry chillies
208,Andhra Pradesh,ANANTAPUR,Kharif     ,Groundnut
209,Andhra Pradesh,ANANTAPUR,Kharif     ,Horse-gram
210,Andhra Pradesh,ANANTAPUR,Kharif     ,Jowar
211,Andhra Pradesh,ANANTAPUR,Kharif     ,Korra
212,Andhra Pradesh,ANANTAPUR,Kharif     ,Maize
213,Andhra Pradesh,ANANTAPUR,Kharif     ,Moong(Green Gram)
214,Andhra Pradesh,ANANTAPUR,Kharif     ,Other Kharif pulses
215,Andhra Pradesh,ANANTAPUR,Kharif     ,Ragi
216,Andhra Pradesh,ANANTAPUR,Kharif     ,Rice
217,Andhra Pradesh,ANANTAPUR,Kharif     ,Sugarcane
218,Andhra Pradesh,ANANTAPUR,Kharif     ,Sunflower
219,Andhra Pradesh,ANANTAPUR,Kharif     ,Tobacco
220,Andhra Pradesh,ANANTAPUR,Rabi       ,Dry chillies
221,Andhra Pradesh,ANANTAPUR,Rabi       ,Gram
222,Andhra Pradesh,ANANTAPUR,Rabi       ,Groundnut
223,Andhra Pradesh,ANANTAPUR,Rabi       ,Horse-gram
224,Andhra Pradesh,ANANTAPUR,Rabi       ,Jowar
225,Andhra Pradesh,ANANTAPUR,Rabi       ,Korra
226,Andhra Pradesh,ANANTAPUR,Rabi       ,Maize
227,Andhra Pradesh,ANANTAPUR,Rabi       ,Ragi
228,Andhra Pradesh,ANANTAPUR,Rabi       ,Rice
229,Andhra Pradesh,ANANTAPUR,Rabi       ,Sunflower
230,Andhra Pradesh,ANANTAPUR,Rabi       ,Wheat
231,Andhra Pradesh,ANANTAPUR,Kharif     ,Arhar/Tur
232,Andhra Pradesh,ANANTAPUR,Kharif     ,Bajra
233,Andhra Pradesh,ANANTAPUR,Kharif     ,Castor seed
234,Andhra Pradesh,ANANTAPUR,Kharif     ,Cotton(lint)
235,Andhra Pradesh,ANANTAPUR,Kharif     ,Dry chillies
236,Andhra Pradesh,ANANTAPUR,Kharif     ,Groundnut
237,Andhra Pradesh,ANANTAPUR,Kharif     ,Horse-gram
238,Andhra Pradesh,ANANTAPUR,Kharif     ,Jowar
239,Andhra Pradesh,ANANTAPUR,Kharif     ,Korra
240,Andhra Pradesh,ANANTAPUR,Kharif     ,Maize
241,Andhra Pradesh,ANANTAPUR,Kharif     ,Moong(Green Gram)
242,Andhra Pradesh,ANANTAPUR,Kharif     ,Other Kharif pulses
243,Andhra Pradesh,ANANTAPUR,Kharif     ,Ragi
244,Andhra Pradesh,ANANTAPUR,Kharif     ,Rice
245,Andhra Pradesh,ANANTAPUR,Kharif     ,Sunflower
246,Andhra Pradesh,ANANTAPUR,Rabi       ,Dry chillies
247,Andhra Pradesh,ANANTAPUR,Rabi       ,Gram
248,Andhra Pradesh,ANANTAPUR,Rabi       ,Groundnut
249,Andhra Pradesh,ANANTAPUR,Rabi       ,Horse-gram
250,Andhra Pradesh,ANANTAPUR,Rabi       ,Jowar
251,Andhra Pradesh,ANANTAPUR,Rabi       ,Maize
252,Andhra Pradesh,ANANTAPUR,Rabi       ,Ragi
253,Andhra Pradesh,ANANTAPUR,Rabi       ,Rice
254,Andhra Pradesh,ANANTAPUR,Rabi       ,Sunflower
255,Andhra Pradesh,ANANTAPUR,Rabi       ,Wheat
256,Andhra Pradesh,ANANTAPUR,Whole Year ,Sugarcane
257,Andhra Pradesh,ANANTAPUR,Whole Year ,Tobacco
258,Andhra Pradesh,ANANTAPUR,Kharif     ,Bajra
259,Andhra Pradesh,ANANTAPUR,Kharif     ,Castor seed
260,Andhra Pradesh,ANANTAPUR,Kharif     ,Cotton(lint)
261,Andhra Pradesh,ANANTAPUR,Kharif     ,Groundnut
262,Andhra Pradesh,ANANTAPUR,Kharif     ,Horse-gram
263,Andhra Pradesh,ANANTAPUR,Kharif     ,Jowar
264,Andhra Pradesh,ANANTAPUR,Kharif     ,Maize
265,Andhra Pradesh,ANANTAPUR,Kharif     ,Masoor
266,Andhra Pradesh,ANANTAPUR,Kharif     ,Moong(Green Gram)
267,Andhra Pradesh,ANANTAPUR,Kharif     ,Ragi
268,Andhra Pradesh,ANANTAPUR,Kharif     ,Rice
269,Andhra Pradesh,ANANTAPUR,Kharif     ,Sesamum
270,Andhra Pradesh,ANANTAPUR,Kharif     ,Urad
